"$gamma_1$","$delta_1$","LSa","LIa","LSb","LIb","$ARL_0$","$ARL_1_conjunta$"
0.1,0.5,2.73406048405748,0.909756362577364,1.84536557079332,0.00839550175468299,370.809848709582,1.00208190532486
0.1,1,2.73406048405748,0.909756362577364,1.84536557079332,0.00839550175468299,370.809848709582,1
0.1,1.5,2.73406048405748,0.909756362577364,1.84536557079332,0.00839550175468299,370.809848709582,1
0.1,2,2.73406048405748,0.909756362577364,1.84536557079332,0.00839550175468299,370.809848709582,1
0.1,3,2.73406048405748,0.909756362577364,1.84536557079332,0.00839550175468299,370.809848709582,1
0.1,5,2.73406048405748,0.909756362577364,1.84536557079332,0.00839550175468299,370.809848709582,1
0.1,10,2.73406048405748,0.909756362577364,1.84536557079332,0.00839550175468299,370.809848709582,1
0.1,20,2.73406048405748,0.909756362577364,1.84536557079332,0.00839550175468299,370.809848709582,1
0.5,0.5,2.73406048405748,0.909756362577364,1.84536557079332,0.00839550175468299,370.809848709582,1.08039191951547
0.5,1,2.73406048405748,0.909756362577364,1.84536557079332,0.00839550175468299,370.809848709582,1.04885853669424
0.5,1.5,2.73406048405748,0.909756362577364,1.84536557079332,0.00839550175468299,370.809848709582,1.00242317759567
0.5,2,2.73406048405748,0.909756362577364,1.84536557079332,0.00839550175468299,370.809848709582,1.00004100168107
0.5,3,2.73406048405748,0.909756362577364,1.84536557079332,0.00839550175468299,370.809848709582,1
0.5,5,2.73406048405748,0.909756362577364,1.84536557079332,0.00839550175468299,370.809848709582,1
0.5,10,2.73406048405748,0.909756362577364,1.84536557079332,0.00839550175468299,370.809848709582,1
0.5,20,2.73406048405748,0.909756362577364,1.84536557079332,0.00839550175468299,370.809848709582,1
1,0.5,2.73406048405748,0.909756362577364,1.84536557079332,0.00839550175468299,370.809848709582,1.10104079624804
1,1,2.73406048405748,0.909756362577364,1.84536557079332,0.00839550175468299,370.809848709582,1.61337948502153
1,1.5,2.73406048405748,0.909756362577364,1.84536557079332,0.00839550175468299,370.809848709582,1.82566945290602
1,2,2.73406048405748,0.909756362577364,1.84536557079332,0.00839550175468299,370.809848709582,1.77314547069849
1,3,2.73406048405748,0.909756362577364,1.84536557079332,0.00839550175468299,370.809848709582,1.80336218123725
1,5,2.73406048405748,0.909756362577364,1.84536557079332,0.00839550175468299,370.809848709582,2.03187582410344
1,10,2.73406048405748,0.909756362577364,1.84536557079332,0.00839550175468299,370.809848709582,1.80488174306527
1,20,2.73406048405748,0.909756362577364,1.84536557079332,0.00839550175468299,370.809848709582,1.07243279750015
1.5,0.5,2.73406048405748,0.909756362577364,1.84536557079332,0.00839550175468299,370.809848709582,1.08797339844114
1.5,1,2.73406048405748,0.909756362577364,1.84536557079332,0.00839550175468299,370.809848709582,1.74631334044386
1.5,1.5,2.73406048405748,0.909756362577364,1.84536557079332,0.00839550175468299,370.809848709582,4.44042674632437
1.5,2,2.73406048405748,0.909756362577364,1.84536557079332,0.00839550175468299,370.809848709582,11.2975661427307
1.5,3,2.73406048405748,0.909756362577364,1.84536557079332,0.00839550175468299,370.809848709582,42.0146530303909
1.5,5,2.73406048405748,0.909756362577364,1.84536557079332,0.00839550175468299,370.809848709582,76.0798777852843
1.5,10,2.73406048405748,0.909756362577364,1.84536557079332,0.00839550175468299,370.809848709582,7.7605034145439
