$gamma_1$,$delta_1$,$ARL_1$,mu1,sigma1,desvio,d(%)
3,5,118.66647363587,2.75450622719928,0.630927731081821,0.0286517736908358,-1
4,5,8.95562701747888,3.67267496959904,0.841236974775762,-0.889516968708925,32
5,5,3.19459464363594,4.5908437119988,1.0515462184697,-1.80768571110869,65
6,5,1.96061762278407,5.50901245439856,1.26185546216364,-2.72585445350845,98
0.1,10,1,0.0951350769866873,0.0114457219403008,2.68802292390343,-97
0.5,10,1.11582766505897,0.475675384933437,0.0572286097015041,2.30748261595668,-83
1,10,3.47215760151131,0.951350769866873,0.114457219403008,1.83180723102324,-66
1.5,10,11.7725755028244,1.42702615480031,0.171685829104512,1.35613184608981,-49
2,10,32.0468242558567,1.90270153973375,0.228914438806016,0.880456461156371,-32
2.5,10,72.8136959649562,2.37837692466718,0.28614304850752,0.404781076222934,-15
3,10,145.837222325929,2.85405230960062,0.343371658209025,-0.0708943087105021,3
4,10,383.753415405397,3.80540307946749,0.457828877612033,-1.02224507857738,37
5,10,128.14795450235,4.75675384933437,0.572286097015041,-1.97359584844425,71
6,10,28.592619787351,5.70810461920124,0.686743316418049,-2.92494661831112,105
0.1,20,1,0.0973504265562776,0.00603341926104414,2.68580757433384,-97
0.5,20,1.00074996202154,0.486752132781388,0.0301670963052207,2.29640586810873,-83
1,20,1.16039849569652,0.973504265562776,0.0603341926104414,1.80965373532734,-65
1.5,20,1.92538634995037,1.46025639834416,0.0905012889156621,1.32290160254595,-48
2,20,3.66091493000184,1.94700853112555,0.120668385220883,0.836149469764566,-30
2.5,20,6.88953010511081,2.43376066390694,0.150835481526104,0.349397336983178,-13
3,20,12.3201747296461,2.92051279668833,0.181002577831324,-0.13735479579821,5
4,20,33.4820830677088,3.8940170622511,0.241336770441766,-1.11085906136099,40
5,20,75.9340649327376,4.86752132781388,0.301670963052207,-2.08436332692376,75
6,20,149.71673593561,5.84102559337665,0.362005155662649,-3.05786759248654,110
