$gamma_1$,$delta_1$,$ARL_1$,mu1,sigma1,desvio,d(%)
0.1,0.5,3.70049414178473,0.2,0.447213595499958,2.58315800089012,-93
0.5,0.5,2.37239886629701,1,2.23606797749979,1.78315800089012,-64
1,0.5,1.52319523222833,2,4.47213595499958,0.783158000890118,-28
1.5,0.5,1.29149208922351,3,6.70820393249937,-0.216841999109882,8
2,0.5,1.19007369055299,4,8.94427190999916,-1.21684199910988,44
2.5,0.5,1.13521982498861,5,11.1803398874989,-2.21684199910988,80
3,0.5,1.10151214265129,6,13.4164078649987,-3.21684199910988,116
4,0.5,1.06366933158381,8,17.8885438199983,-5.21684199910988,187
5,0.5,1.04387221642862,10,22.3606797749979,-7.21684199910988,259
6,0.5,1.03197766486612,12,26.8328157299975,-9.21684199910988,331
0.1,1,1.85736023197092,0.1,0.1,2.68315800089012,-96
0.5,1,36.7228796025703,0.5,0.5,2.28315800089012,-82
1,1,4.35273786776609,1,1,1.78315800089012,-64
1.5,1,2.01637628226913,1.5,1.5,1.28315800089012,-46
2,1,1.46578417078567,2,2,0.783158000890118,-28
2.5,1,1.2554590182898,2.5,2.5,0.283158000890118,-10
3,1,1.15466638443541,3,3,-0.216841999109882,8
4,1,1.0679403806477,4,4,-1.21684199910988,44
5,1,1.03470559852711,5,5,-2.21684199910988,80
6,1,1.01967114912064,6,6,-3.21684199910988,116
0.1,1.5,1.1792304870137,0.0902745292950934,0.0612935791754676,2.69288347159502,-97
0.5,1.5,69.7520315279182,0.451372646475467,0.306467895877338,2.33178535441465,-84
1,1.5,45.8862516530522,0.902745292950934,0.612935791754676,1.88041270793918,-68
1.5,1.5,5.41295135218231,1.3541179394264,0.919403687632014,1.42904006146372,-51
2,1.5,2.34099724328847,1.80549058590187,1.22587158350935,0.97766741498825,-35
2.5,1.5,1.5979797955909,2.25686323237733,1.53233947938669,0.526294768512783,-19
3,1.5,1.31810611455455,2.7082358788528,1.83880737526403,0.0749221220373166,-3
4,1.5,1.11785965468779,3.61098117180373,2.4517431670187,-0.827823170913617,30
5,1.5,1.05357695909791,4.51372646475467,3.06467895877338,-1.73056846386455,62
6,1.5,1.02769213048656,5.4164717577056,3.67761475052806,-2.63331375681548,95
0.1,2,1.02127981516633,0.0886226925452758,0.0463251375176104,2.69453530834484,-97
0.5,2,38.3448521269123,0.443113462726379,0.231625687588052,2.34004453816374,-84
1,2,486.201598630856,0.886226925452758,0.463251375176104,1.89693107543736,-68
1.5,2,31.1544920104305,1.32934038817914,0.694877062764156,1.45381761271098,-52
2,2,5.37652677230753,1.77245385090552,0.926502750352208,1.0107041499846,-36
2.5,2,2.47909306445949,2.2155673136319,1.15812843794026,0.567590687258222,-20
3,2,1.69307628642814,2.65868077635827,1.38975412552831,0.124477224531844,-4
4,2,1.23165908740614,3.54490770181103,1.85300550070442,-0.761749700920915,27
5,2,1.10143216581083,4.43113462726379,2.31625687588052,-1.64797662637367,59
6,2,1.05144817955522,5.31736155271655,2.77950825105663,-2.53420355182643,91
0.1,3,1.00001130012769,0.0892979511569249,0.0324550280955785,2.69386004973319,-97
0.5,3,12.5029444434164,0.446489755784625,0.162275140477892,2.33666824510549,-84
1,3,162.097148062777,0.892979511569249,0.324550280955785,1.89017848932087,-68
1.5,3,763.84857465856,1.33946926735387,0.486825421433677,1.44368873353624,-52
2,3,102.362108004307,1.7859590231385,0.649100561911569,0.997198977751619,-36
2.5,3,12.0946215459877,2.23244877892312,0.811375702389461,0.550709221966994,-20
3,3,4.30327188088957,2.67893853470775,0.973650842867354,0.10421946618237,-4
4,3,1.81949966524845,3.571918046277,1.29820112382314,-0.788760045386879,28
5,3,1.33378674969294,4.46489755784625,1.62275140477892,-1.68173955695613,60
6,3,1.16690760196894,5.3578770694155,1.94730168573471,-2.57471906852538,93
0.1,5,1,0.0918168742399761,0.021030924369394,2.69134112665014,-97
0.5,5,3.09420913809072,0.45908437119988,0.10515462184697,2.32407362969024,-84
1,5,28.855015665388,0.918168742399761,0.21030924369394,1.86498925849036,-67
1.5,5,131.810309147899,1.37725311359964,0.315463865540911,1.40590488729048,-51
2,5,401.290550410119,1.83633748479952,0.420618487387881,0.946820516090596,-34
2.5,5,733.320622442544,2.2954218559994,0.525773109234851,0.487736144890716,-18
