"gama1","delta1","ARL1","mu1","sigma1","desvio","d(%)"
0.1,0.5,1.0004,0.2,0.4472,2.5832,-93
0.5,0.5,1.0932,1,2.2361,1.7832,-64
1,0.5,1.2371,2,4.4721,0.7832,-28
1.5,0.5,1.288,3,6.7082,-0.2168,8
2,0.5,1.2837,4,8.9443,-1.2168,44
2.5,0.5,1.2595,5,11.1803,-2.2168,80
3,0.5,1.2313,6,13.4164,-3.2168,116
4,0.5,1.1806,8,17.8885,-5.2168,187
5,0.5,1.1423,10,22.3607,-7.2168,259
6,0.5,1.1143,12,26.8328,-9.2168,331
0.1,1,1,0.1,0.1,2.6832,-96
0.5,1,1,0.5,0.5,2.2832,-82
1,1,1.0287,1,1,1.7832,-64
1.5,1,1.235,1.5,1.5,1.2832,-46
2,1,1.5767,2,2,0.7832,-28
2.5,1,1.7902,2.5,2.5,0.2832,-10
3,1,1.762,3,3,-0.2168,8
4,1,1.4724,4,4,-1.2168,44
5,1,1.2677,5,5,-2.2168,80
6,1,1.1571,6,6,-3.2168,116
0.1,1.5,1,0.0903,0.0613,2.6929,-97
0.5,1.5,1,0.4514,0.3065,2.3318,-84
1,1.5,1.0005,0.9027,0.6129,1.8804,-68
1.5,1.5,1.0705,1.3541,0.9194,1.429,-51
2,1.5,1.4776,1.8055,1.2259,0.9777,-35
2.5,1.5,2.2641,2.2569,1.5323,0.5263,-19
3,1.5,2.5981,2.7082,1.8388,0.0749,-3
4,1.5,1.7167,3.611,2.4517,-0.8278,30
5,1.5,1.2688,4.5137,3.0647,-1.7306,62
6,1.5,1.1117,5.4165,3.6776,-2.6333,95
0.1,2,1,0.0886,0.0463,2.6945,-97
0.5,2,1,0.4431,0.2316,2.34,-84
1,2,1,0.8862,0.4633,1.8969,-68
1.5,2,1.0203,1.3293,0.6949,1.4538,-52
2,2,1.3729,1.7725,0.9265,1.0107,-36
2.5,2,2.6481,2.2156,1.1581,0.5676,-20
3,2,3.9066,2.6587,1.3898,0.1245,-4
4,2,1.8188,3.5449,1.853,-0.7617,27
5,2,1.2043,4.4311,2.3163,-1.648,59
6,2,1.0601,5.3174,2.7795,-2.5342,91
0.1,3,1,0.0893,0.0325,2.6939,-97
0.5,3,1,0.4465,0.1623,2.3367,-84
1,3,1,0.893,0.3246,1.8902,-68
1.5,3,1.0012,1.3395,0.4868,1.4437,-52
2,3,1.2773,1.786,0.6491,0.9972,-36
2.5,3,3.6063,2.2324,0.8114,0.5507,-20
3,3,9.8206,2.6789,0.9737,0.1042,-4
4,3,1.7211,3.5719,1.2982,-0.7888,28
5,3,1.0862,4.4649,1.6228,-1.6817,60
6,3,1.0122,5.3579,1.9473,-2.5747,93
0.1,5,1,0.0918,0.021,2.6913,-97
0.5,5,1,0.4591,0.1052,2.3241,-84
1,5,1,0.9182,0.2103,1.865,-67
1.5,5,1,1.3773,0.3155,1.4059,-51
2,5,1.2132,1.8363,0.4206,0.9468,-34
2.5,5,8.5638,2.2954,0.5258,0.4877,-18
3,5,95.9829,2.7545,0.6309,0.0287,-1
4,5,1.3742,3.6727,0.8412,-0.8895,32
5,5,1.0093,4.5908,1.0515,-1.8077,65
6,5,1.0002,5.509,1.2619,-2.7259,98
0.1,10,1,0.0951,0.0114,2.688,-97
0.5,10,1,0.4757,0.0572,2.3075,-83
1,10,1,0.9514,0.1145,1.8318,-66
1.5,10,1,1.427,0.1717,1.3561,-49
2,10,1.1609,1.9027,0.2289,0.8805,-32
2.5,10,208.9943,2.3784,0.2861,0.4048,-15
3,10,314465.4088,2.8541,0.3434,-0.0709,3
4,10,1.0507,3.8054,0.4578,-1.0222,37
5,10,1,4.7568,0.5723,-1.9736,71
6,10,1,5.7081,0.6867,-2.9249,105
0.1,20,1,0.0974,0.006,2.6858,-97
0.5,20,1,0.4868,0.0302,2.2964,-83
1,20,1,0.9735,0.0603,1.8097,-65
1.5,20,1,1.4603,0.0905,1.3229,-48
2,20,1.1115,1.947,0.1207,0.8361,-30
2.5,20,909090.9091,2.4338,0.1508,0.3494,-13
3,20,Inf,2.9205,0.181,-0.1374,5
4,20,1.0003,3.894,0.2413,-1.1109,40
5,20,1,4.8675,0.3017,-2.0844,75
6,20,1,5.841,0.362,-3.0579,110
