"$gamma_1$","$delta_1$","LSb","LIb","$ARL_0$","$ARL_1_conjunta$"
0.1,0.5,4.40028851298699,0.0190562244247895,500,2.39503679399225
0.1,1,4.40028851298699,0.0190562244247895,500,1.15947489608148
0.1,1.5,4.40028851298699,0.0190562244247895,500,1.00459172759298
0.1,2,4.40028851298699,0.0190562244247895,500,1.00000594003528
0.1,3,4.40028851298699,0.0190562244247895,500,1
0.1,5,4.40028851298699,0.0190562244247895,500,1
0.1,10,4.40028851298699,0.0190562244247895,500,1
0.1,20,4.40028851298699,0.0190562244247895,500,1
0.1
0.5
4.40028851298699
0.0190562244247895
500
2.39503564675255
0.5
0.5
4.40028851298699
0.0190562244247895
500
3.92009928200246
1
0.5
4.40028851298699
0.0190562244247895
500
2.221482221811
1.5
0.5
4.40028851298699
0.0190562244247895
500
1.69242331866882
2
0.5
4.40028851298699
0.0190562244247895
500
1.45971937945928
2.5
0.5
4.40028851298699
0.0190562244247895
500
1.33304752794334
3
0.5
4.40028851298699
0.0190562244247895
500
1.2548862761822
4
0.5
4.40028851298699
0.0190562244247895
500
1.16544954885448
5
0.5
4.40028851298699
0.0190562244247895
500
1.11700594865986
6
0.5
4.40028851298699
0.0190562244247895
500
1.0876315153152
