$gamma_1$,$delta_1$,LSa,LIa,LSb,LIb,$ARL_0$,$ARL_1_conjunta$
4,2,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
5,2,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
6,2,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
0.1,3,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
0.5,3,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
1,3,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
1.5,3,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
2,3,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
2.5,3,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
3,3,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
4,3,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
5,3,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
6,3,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
0.1,5,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
0.5,5,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
1,5,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
1.5,5,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
2,5,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
2.5,5,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
3,5,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
4,5,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
5,5,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
6,5,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
0.1,10,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
0.5,10,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
1,10,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
1.5,10,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
2,10,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
2.5,10,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
3,10,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
4,10,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
5,10,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
6,10,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
0.1,20,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
0.5,20,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
1,20,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
1.5,20,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
2,20,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
2.5,20,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
3,20,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
4,20,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
5,20,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
6,20,51.7958026954274,44.6995990289718,45.4917066786179,0.0904239277913424,371.512427090686,1
