"gama1","delta1","ARL1","mu1","sigma1","desvio","d(%)"
0.1,0.5,1.0103,0.2,0.4472,1.586,-89
0.5,0.5,1.4423,1,2.2361,0.786,-44
1,0.5,1.7032,2,4.4721,-0.214,12
1.5,0.5,1.6246,3,6.7082,-1.214,68
2,0.5,1.499,4,8.9443,-2.214,124
2.5,0.5,1.3961,5,11.1803,-3.214,180
3,0.5,1.3194,6,13.4164,-4.214,236
4,0.5,1.2192,8,17.8885,-6.214,348
5,0.5,1.1597,10,22.3607,-8.214,460
6,0.5,1.1214,12,26.8328,-10.214,572
0.1,1,1,0.1,0.1,1.686,-94
0.5,1,1.0394,0.5,0.5,1.286,-72
1,1,1.8999,1,1,0.786,-44
1.5,1,3.6092,1.5,1.5,0.286,-16
2,1,3.3399,2,2,-0.214,12
2.5,1,2.3401,2.5,2.5,-0.714,40
3,1,1.7736,3,3,-1.214,68
4,1,1.3115,4,4,-2.214,124
5,1,1.1498,5,5,-3.214,180
6,1,1.0801,6,6,-4.214,236
0.1,1.5,1,0.0903,0.0613,1.6957,-95
0.5,1.5,1.0011,0.4514,0.3065,1.3346,-75
1,1.5,1.6352,0.9027,0.6129,0.8832,-49
1.5,1.5,5.7892,1.3541,0.9194,0.4318,-24
2,1.5,8.9837,1.8055,1.2259,-0.0195,1
2.5,1.5,3.7269,2.2569,1.5323,-0.4709,26
3,1.5,2.0467,2.7082,1.8388,-0.9223,52
4,1.5,1.2527,3.611,2.4517,-1.825,102
5,1.5,1.0814,4.5137,3.0647,-2.7278,153
6,1.5,1.0302,5.4165,3.6776,-3.6305,203
0.1,2,1,0.0886,0.0463,1.6973,-95
0.5,2,1,0.4431,0.2316,1.3428,-75
1,2,1.5322,0.8862,0.4633,0.8997,-50
1.5,2,8.841,1.3293,0.6949,0.4566,-26
2,2,27.215,1.7725,0.9265,0.0135,-1
2.5,2,5.2905,2.2156,1.1581,-0.4296,24
3,2,2.117,2.6587,1.3898,-0.8727,49
4,2,1.1708,3.5449,1.853,-1.7589,98
5,2,1.0363,4.4311,2.3163,-2.6452,148
6,2,1.009,5.3174,2.7795,-3.5314,198
0.1,3,1,0.0893,0.0325,1.6967,-95
0.5,3,1,0.4465,0.1623,1.3395,-75
1,3,1.4737,0.893,0.3246,0.893,-50
1.5,3,26.3006,1.3395,0.4868,0.4465,-25
2,3,373.2987,1.786,0.6491,0,0
2.5,3,8.8036,2.2324,0.8114,-0.4465,25
3,3,2.0031,2.6789,0.9737,-0.893,50
4,3,1.0629,3.5719,1.2982,-1.786,100
5,3,1.0052,4.4649,1.6228,-2.6789,150
6,3,1.0005,5.3579,1.9473,-3.5719,200
0.1,5,1,0.0918,0.021,1.6941,-95
0.5,5,1,0.4591,0.1052,1.3269,-74
1,5,1.5086,0.9182,0.2103,0.8678,-49
1.5,5,464.7747,1.3773,0.3155,0.4087,-23
2,5,246305.4187,1.8363,0.4206,-0.0504,3
2.5,5,19.7455,2.2954,0.5258,-0.5095,29
3,5,1.613,2.7545,0.6309,-0.9685,54
4,5,1.0052,3.6727,0.8412,-1.8867,106
5,5,1,4.5908,1.0515,-2.8049,157
6,5,1,5.509,1.2619,-3.7231,208
0.1,10,1,0.0951,0.0114,1.6908,-95
0.5,10,1,0.4757,0.0572,1.3103,-73
1,10,1.838,0.9514,0.1145,0.8346,-47
1.5,10,5e+06,1.427,0.1717,0.3589,-20
2,10,Inf,1.9027,0.2289,-0.1167,7
2.5,10,197.8138,2.3784,0.2861,-0.5924,33
3,10,1.1397,2.8541,0.3434,-1.0681,60
4,10,1,3.8054,0.4578,-2.0194,113
5,10,1,4.7568,0.5723,-2.9708,166
6,10,1,5.7081,0.6867,-3.9221,220
0.1,20,1,0.0974,0.006,1.6886,-95
0.5,20,1,0.4868,0.0302,1.2992,-73
1,20,3.4369,0.9735,0.0603,0.8125,-45
1.5,20,Inf,1.4603,0.0905,0.3257,-18
2,20,Inf,1.947,0.1207,-0.161,9
2.5,20,806451.6129,2.4338,0.1508,-0.6478,36
3,20,1.004,2.9205,0.181,-1.1346,64
4,20,1,3.894,0.2413,-2.1081,118
5,20,1,4.8675,0.3017,-3.0816,173
6,20,1,5.841,0.362,-4.0551,227
