$gamma_1$,$delta_1$,LSa,LIa,LSb,LIb,$ARL_0$,$ARL_1_conjunta$
0.1,0.5,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.00000002
0.5,0.5,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.00027185388445
1,0.5,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.000975650967
1.5,0.5,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.00136634434954
2,0.5,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.00149721831143
2.5,0.5,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.00149200275587
3,0.5,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.0014400507642
4,0.5,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.00126307334176
5,0.5,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.00107122629784
6,0.5,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.00089798565477
0.1,1,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1
0.5,1,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.00000378001429
1,1,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.00380671613346
1.5,1,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.01974212597959
2,1,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.03176011445274
2.5,1,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.0337896205041
3,1,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.0302192990734
4,1,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.01980129824377
5,1,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.01203467101242
6,1,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.00739847543941
0.1,1.5,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1
0.5,1.5,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1
1,1.5,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.00051388394107
1.5,1.5,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.03908067628109
2,1.5,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.13727904260393
2.5,1.5,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.17803757223609
3,1.5,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.15042136713498
4,1.5,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.06964970576611
5,1.5,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.02840201608754
6,1.5,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.01187323964413
0.1,2,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1
0.5,2,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1
1,2,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.000004000016
1.5,2,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.02563845891504
2,2,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.28208395875526
2.5,2,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.54501878835548
3,2,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.45335376787487
4,2,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.14114690924468
5,2,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.03776116063872
6,2,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.0105754906056
0.1,3,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1
0.5,3,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1
1,3,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1
1.5,3,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.00267576058822
2,3,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.3754518703257
2.5,3,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,3.44898088133326
3,3,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,3.57359340326093
4,3,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.29299736675914
5,3,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.0329077594985
6,3,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.00397534075927
0.1,5,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1
0.5,5,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1
1,5,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1
1.5,5,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.00000234000548
2,5,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.35865695998657
2.5,5,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,12.6150046902587
3,5,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,80.1554374242531
4,5,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.36350497133913
5,5,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.00727603831726
6,5,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.00014103988945
0.1,10,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1
0.5,10,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1
1,10,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1
1.5,10,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1
2,10,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.42287630517953
2.5,10,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,90.5275583993279
3,10,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,214.228178717716
4,10,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.07263932839392
5,10,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.00001166013596
6,10,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.00000004
0.1,20,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1
0.5,20,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1
1,20,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1
1.5,20,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1
2,20,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.44796262681039
2.5,20,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,9.42609769735515
3,20,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,17.2843637349159
4,20,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1.00079587290997
5,20,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1
6,20,3.48854858012224,1.95740432529436,1.380399481,0.00531408605889251,370.721869624533,1
