$gamma_1$,$delta_1$,$ARL_1$,mu1,sigma1,desvio,d(%)
0.1,0.5,9.23134810730593,0.2,0.447213595499958,0.3,-60
0.5,0.5,3.8585507761745,1,2.23606797749979,-0.5,100
1,0.5,1.99226189541725,2,4.47213595499958,-1.5,300
1.5,0.5,1.54757743620955,3,6.70820393249937,-2.5,500
2,0.5,1.35954913870115,4,8.94427190999916,-3.5,700
2.5,0.5,1.25842860875356,5,11.1803398874989,-4.5,900
3,0.5,1.19639670198414,6,13.4164078649987,-5.5,1100
4,0.5,1.12595538158594,8,17.8885438199983,-7.5,1500
5,0.5,1.0884434538061,10,22.3606797749979,-9.5,1900
6,0.5,1.06558321575155,12,26.8328157299975,-11.5,2300
0.1,1,6.65053159029107,0.1,0.1,0.4,-80
0.5,1,501.393874972423,0.5,0.5,0,0
1,1,16.9644665676168,1,1,-0.5,100
1.5,1,4.52972938400119,1.5,1.5,-1,200
2,1,2.47370403140535,2,2,-1.5,300
2.5,1,1.79232746195534,2.5,2.5,-2,400
3,1,1.48422763242984,3,3,-2.5,500
4,1,1.2227764116648,4,4,-3.5,700
5,1,1.11971131513296,5,5,-4.5,900
6,1,1.07092576413284,6,6,-5.5,1100
0.1,1.5,3.6614958777781,0.0902745292950934,0.0612935791754676,0.409725470704907,-82
0.5,1.5,984.620231976527,0.451372646475467,0.306467895877338,0.0486273535245332,-10
1,1.5,2582.64462809917,0.902745292950934,0.612935791754676,-0.402745292950934,81
1.5,1.5,53.3558708531817,1.3541179394264,0.919403687632014,-0.8541179394264,171
2,1.5,9.4801376895198,1.80549058590187,1.22587158350935,-1.30549058590187,261
2.5,1.5,3.94483511023171,2.25686323237733,1.53233947938669,-1.75686323237733,351
3,1.5,2.41504138004352,2.7082358788528,1.83880737526403,-2.2082358788528,442
4,1.5,1.50160611790371,3.61098117180373,2.4517431670187,-3.11098117180373,622
5,1.5,1.23241488764086,4.51372646475467,3.06467895877338,-4.01372646475467,803
6,1.5,1.12387991037462,5.4164717577056,3.67761475052806,-4.9164717577056,983
0.1,2,2.1878742495646,0.0886226925452758,0.0463251375176104,0.411377307454724,-82
0.5,2,549.118664543408,0.443113462726379,0.231625687588052,0.056886537273621,-11
1,2,8570.4490915324,0.886226925452758,0.463251375176104,-0.386226925452758,77
1.5,2,4888.06334930101,1.32934038817914,0.694877062764156,-0.829340388179137,166
2,2,106.212135373739,1.77245385090552,0.926502750352208,-1.27245385090552,254
2.5,2,15.9891631847599,2.2155673136319,1.15812843794026,-1.7155673136319,343
3,2,5.73569855187377,2.65868077635827,1.38975412552831,-2.15868077635827,432
4,2,2.1899221360045,3.54490770181103,1.85300550070442,-3.04490770181103,609
5,2,1.48572837551321,4.43113462726379,2.31625687588052,-3.93113462726379,786
6,2,1.24443442259923,5.31736155271655,2.77950825105663,-4.81736155271655,963
0.1,3,1.22732320930782,0.0892979511569249,0.0324550280955785,0.410702048843075,-82
0.5,3,163.18697637379,0.446489755784625,0.162275140477892,0.0535102442153754,-11
1,3,2457.12320015726,0.892979511569249,0.324550280955785,-0.392979511569249,79
1.5,3,12437.8109452736,1.33946926735387,0.486825421433677,-0.839469267353874,168
2,3,38491.1470361817,1.7859590231385,0.649100561911569,-1.2859590231385,257
2.5,3,2661.55647822847,2.23244877892312,0.811375702389461,-1.73244877892312,346
3,3,128.313042764171,2.67893853470775,0.973650842867354,-2.17893853470775,436
4,3,8.63662273504569,3.571918046277,1.29820112382314,-3.071918046277,614
5,3,3.02450752397663,4.46489755784625,1.62275140477892,-3.96489755784625,793
