$gamma_1$,$delta_1$,$ARL_1$,mu1,sigma1,desvio,d(%)
6,3,1.87093700304405,5.3578770694155,1.94730168573471,-4.8578770694155,972
0.1,5,1.00396566437428,0.0918168742399761,0.021030924369394,0.408183125760024,-82
0.5,5,28.9942307279698,0.45908437119988,0.10515462184697,0.0409156288001197,-8
1,5,402.090872537193,0.918168742399761,0.21030924369394,-0.418168742399761,84
1.5,5,1994.65432640523,1.37725311359964,0.315463865540911,-0.877253113599641,175
2,5,6169.79269496545,1.83633748479952,0.420618487387881,-1.33633748479952,267
2.5,5,15001.500150015,2.2954218559994,0.525773109234851,-1.7954218559994,359
3,5,32425.4215304799,2.75450622719928,0.630927731081821,-2.25450622719928,451
4,5,1066.64391159655,3.67267496959904,0.841236974775762,-3.17267496959904,635
5,5,43.3569368497543,4.5908437119988,1.0515462184697,-4.0908437119988,818
6,5,9.79339654774937,5.50901245439856,1.26185546216364,-5.00901245439856,1002
0.1,10,1.00000004,0.0951350769866873,0.0114457219403008,0.404864923013313,-81
0.5,10,3.47813819714324,0.475675384933437,0.0572286097015041,0.0243246150665634,-5
1,10,32.2482444055746,0.951350769866873,0.114457219403008,-0.451350769866873,90
1.5,10,145.872111002842,1.42702615480031,0.171685829104512,-0.92702615480031,185
2,10,443.939340128565,1.90270153973375,0.228914438806016,-1.40270153973375,281
2.5,10,1076.19457597934,2.37837692466718,0.28614304850752,-1.87837692466718,376
3,10,2183.78756114605,2.85405230960062,0.343371658209025,-2.35405230960062,471
4,10,6910.85003455425,3.80540307946749,0.457828877612033,-3.30540307946749,661
5,10,15427.3372415921,4.75675384933437,0.572286097015041,-4.25675384933437,851
6,10,3323.36324360253,5.70810461920124,0.686743316418049,-5.20810461920124,1042
0.1,20,1,0.0973504265562776,0.00603341926104414,0.402649573443722,-81
0.5,20,1.16107861974503,0.486752132781388,0.0301670963052207,0.0132478672186122,-3
1,20,3.66882621115107,0.973504265562776,0.0603341926104414,-0.473504265562776,95
1.5,20,12.3508785797478,1.46025639834416,0.0905012889156621,-0.960256398344164,192
2,20,33.5177255139608,1.94700853112555,0.120668385220883,-1.44700853112555,289
2.5,20,76.2200931409538,2.43376066390694,0.150835481526104,-1.93376066390694,387
3,20,152.208854902343,2.92051279668833,0.181002577831324,-2.42051279668833,484
4,20,458.766102690204,3.8940170622511,0.241336770441766,-3.3940170622511,679
5,20,1107.12545945707,4.86752132781388,0.301670963052207,-4.36752132781388,874
6,20,2265.62145996647,5.84102559337665,0.362005155662649,-5.34102559337665,1068
