$gamma_1$,$delta_1$,$ARL_1$,mu1,sigma1,desvio,d(%)
1,2,3.55974320582072,0.886226925452758,0.463251375176104,48.0356831202595,-98
1.5,2,12.5677432782053,1.32934038817914,0.694877062764156,47.5925696575331,-97
2,2,34.9489047013267,1.77245385090552,0.926502750352208,47.1494561948067,-96
2.5,2,80.3210270810375,2.2155673136319,1.15812843794026,46.7063427320803,-95
3,2,161.165549252192,2.65868077635827,1.38975412552831,46.263229269354,-95
4,2,494.144388990463,3.54490770181103,1.85300550070442,45.3770023439012,-93
5,2,1153.82840263996,4.43113462726379,2.31625687588052,44.4907754184485,-91
6,2,995.916741360422,5.31736155271655,2.77950825105663,43.6045484929957,-89
0.1,3,1,0.0892979511569249,0.0324550280955785,48.8326120945553,-100
0.5,3,1.00110804640793,0.446489755784625,0.162275140477892,48.4754202899276,-99
1,3,1.65347518651283,0.892979511569249,0.324550280955785,48.028930534143,-98
1.5,3,4.53314417429323,1.33946926735387,0.486825421433677,47.5824407783584,-97
2,3,11.4366306588163,1.7859590231385,0.649100561911569,47.1359510225737,-96
2.5,3,25.1396381199372,2.23244877892312,0.811375702389461,46.6894612667891,-95
3,3,49.2542900486632,2.67893853470775,0.973650842867354,46.2429715110045,-95
4,3,146.586728037643,3.571918046277,1.29820112382314,45.3499919994352,-93
5,3,350.046906285442,4.46489755784625,1.62275140477892,44.457012487866,-91
6,3,719.114051488566,5.3578770694155,1.94730168573471,43.5640329762967,-89
0.1,5,1,0.0918168742399761,0.021030924369394,48.8300931714723,-100
0.5,5,1,0.45908437119988,0.10515462184697,48.4628256745124,-99
1,5,1.0414774649272,0.918168742399761,0.21030924369394,48.0037413033125,-98
1.5,5,1.56078586692165,1.37725311359964,0.315463865540911,47.5446569321126,-97
2,5,2.89564131853143,1.83633748479952,0.420618487387881,47.0855725609127,-96
2.5,5,5.42134944760786,2.2954218559994,0.525773109234851,46.6264881897128,-95
3,5,9.67808745506948,2.75450622719928,0.630927731081821,46.167403818513,-94
4,5,26.3171191807586,3.67267496959904,0.841236974775762,45.2492350761132,-92
5,5,59.8323736220604,4.5908437119988,1.0515462184697,44.3310663337134,-91
6,5,119.703709378546,5.50901245439856,1.26185546216364,43.4128975913137,-89
0.1,10,1,0.0951350769866873,0.0114457219403008,48.8267749687256,-100
0.5,10,1,0.475675384933437,0.0572286097015041,48.4462346607788,-99
1,10,1.00002052042108,0.951350769866873,0.114457219403008,47.9705592758454,-98
1.5,10,1.0106865345,1.42702615480031,0.171685829104512,47.4948838909119,-97
2,10,1.09923635390952,1.90270153973375,0.228914438806016,47.0192085059785,-96
2.5,10,1.33041252793068,2.37837692466718,0.28614304850752,46.5435331210451,-95
3,10,1.73863853614424,2.85405230960062,0.343371658209025,46.0678577361116,-94
4,10,3.24882701100768,3.80540307946749,0.457828877612033,45.1165069662447,-92
5,10,6.07020139349971,4.75675384933437,0.572286097015041,44.1651561963779,-90
6,10,10.8194827724622,5.70810461920124,0.686743316418049,43.213805426511,-88
0.1,20,1,0.0973504265562776,0.00603341926104414,48.824559619156,-100
0.5,20,1,0.486752132781388,0.0301670963052207,48.4351579129308,-99
1,20,1,0.973504265562776,0.0603341926104414,47.9484057801495,-98
1.5,20,1.00000610003721,1.46025639834416,0.0905012889156621,47.4616536473681,-97
2,20,1.00055492777404,1.94700853112555,0.120668385220883,46.9749015145867,-96
2.5,20,1.00578149352799,2.43376066390694,0.150835481526104,46.4881493818053,-95
3,20,1.02479283351714,2.92051279668833,0.181002577831324,46.0013972490239,-94
4,20,1.140821916558,3.8940170622511,0.241336770441766,45.0278929834611,-92
5,20,1.40035111283522,4.86752132781388,0.301670963052207,44.0543887178984,-90
6,20,1.83859483404126,5.84102559337665,0.362005155662649,43.0808844523356,-88
